name,category_id,photo,description
Наранхилья (замороженная),3,products/наранхилья_(замороженная),
Опунция (плоды) (свежая),3,products/опунция_(плоды)_(свежая),
Папайя (свежая),3,products/папайя_(свежая),
Плантаны (приготовленные),3,products/плантаны_(приготовленные),
Плантаны (в свежем виде),3,products/плантаны_(в_свежем_виде),
Плоды кариссы (свежие),3,products/плоды_кариссы_(свежие),
Плоды хлебного дерева (свежие),3,products/плоды_хлебного_дерева_(свежие),
Помело (свежее),3,products/помело_(свежее),
Рамбутан (консервированный),3,products/рамбутан_(консервированный),
Саподилла (плоды свежие),3,products/саподилла_(плоды_свежие),
Сахарное яблоко (свежее),3,products/сахарное_яблоко_(свежее),
Сметанное яблоко (свежее),3,products/сметанное_яблоко_(свежее),
Старфрут (карамбола) (свежий),3,products/старфрут_(карамбола)_(свежий),
Суринамская вишня (свежая),3,products/суринамская_вишня_(свежая),
Тамаринд (свежий),3,products/тамаринд_(свежий),
Фейхоа (свежая),3,products/фейхоа_(свежая),
Хурма черная (сапота) (свежая),3,products/хурма_черная_(сапота)_(свежая),
Черимойя (свежий),3,products/черимойя_(свежий),
Шелковица (свежая),3,products/шелковица_(свежая),
Ююба (китайский финик) (свежий),3,products/ююба_(китайский_финик)_(свежий),
Яванское яблоко (свежее),3,products/яванское_яблоко_(свежее),
Кокосовая вода (свежая),4,products/кокосовая_вода_(свежая),
Кокосовая стружка (неподслащённая),4,products/кокосовая_стружка_(неподслащённая),
Кокосовое молоко (свежее),4,products/кокосовое_молоко_(свежее),
Кокосовое молоко консервированное,4,products/кокосовое_молоко_консервированное,
Мякоть кокоса (свежая),4,products/мякоть_кокоса_(свежая),
Абрикосы сушёные (низкое содержание воды),5,products/абрикосы_сушёные_(низкое_содержание_воды),
Бананы (сушёные),5,products/бананы_(сушёные),
"Груша (сушёная, вяленая)",5,"products/груша_(сушёная,_вяленая)",
Изюм (без косточек),5,products/изюм_(без_косточек),
Инжир (сушёный),5,products/инжир_(сушёный),
Клюква (сушёная),5,products/клюква_(сушёная),
Курага,5,products/курага,
Персик вяленый,5,products/персик_вяленый,
Персик сушёный,5,products/персик_сушёный,
Слива сушёная (низкое содержание воды),5,products/слива_сушёная_(низкое_содержание_воды),
Финики Деглет нур,5,products/финики_деглет_нур,
Финики Маджуль,5,products/финики_маджуль,
Чернослив,5,products/чернослив,
Яблоки (сушёные),5,products/яблоки_(сушёные),
Яблоки (вяленые),5,products/яблоки_(вяленые),
Морс клюквенный (без сахара),6,products/морс_клюквенный_(без_сахара),
Сок абрикосовый (нектар) (консервированный),6,products/сок_абрикосовый_(нектар)_(консервированный),
Сок ананасовый (консервированный),6,products/сок_ананасовый_(консервированный),
Сок апельсиновый (консервированный),6,products/сок_апельсиновый_(консервированный),
Сок апельсиновый (свежевыжатый),6,products/сок_апельсиновый_(свежевыжатый),
Сок виноградный (консервированный),6,products/сок_виноградный_(консервированный),
Сок гранатовый (консервированный),6,products/сок_гранатовый_(консервированный),
Сок грейпфрутовый (свежий),6,products/сок_грейпфрутовый_(свежий),
Сок грушевый (нектар) (консервированный),6,products/сок_грушевый_(нектар)_(консервированный),
Сок ежевичный (консервированный),6,products/сок_ежевичный_(консервированный),
Сок лайма (свежий),6,products/сок_лайма_(свежий),
Сок лимонный (свежий),6,products/сок_лимонный_(свежий),
Сок манго (нектар) (консервированный),6,products/сок_манго_(нектар)_(консервированный),
Сок мандариновый (свежий),6,products/сок_мандариновый_(свежий),
Сок морковный (консервированный),6,products/сок_морковный_(консервированный),
Сок папайи (нектар) (консервированный),6,products/сок_папайи_(нектар)_(консервированный),
Сок персиковый (нектар) (консервированный),6,products/сок_персиковый_(нектар)_(консервированный),
Сок сметанного яблока (нектар) (консервированный),6,products/сок_сметанного_яблока_(нектар)_(консервированный),
"Сок томатный (консервированный, без соли)",6,"products/сок_томатный_(консервированный,_без_соли)",
Сок яблочный (консервированный),6,products/сок_яблочный_(консервированный),
Батат (печёный),7,products/батат_(печёный),
Батат (в сыром виде),7,products/батат_(в_сыром_виде),
Картофель (запечённый в кожуре),7,products/картофель_(запечённый_в_кожуре),
Картофель (запечённый),7,products/картофель_(запечённый),
Картофель (варёный в мундире),7,products/картофель_(варёный_в_мундире),
Картофель (варёный),7,products/картофель_(варёный),
Картофель (сырой),7,products/картофель_(сырой),
Картофель (замороженный),7,products/картофель_(замороженный),
Картофель (жареный),7,products/картофель_(жареный),
Картофель красный (в сыром виде),7,products/картофель_красный_(в_сыром_виде),
"Картофельное пюре (с молоком и маслом, приготовленное)",7,"products/картофельное_пюре_(с_молоком_и_маслом,_приготовленное)",
Картофельные хлопья (в сухом виде (пюре быстрого приготовления)),7,products/картофельные_хлопья_(в_сухом_виде_(пюре_быстрого_приготовления)),
Брюква (в сыром виде),8,products/брюква_(в_сыром_виде),
Васаби (корень в сыром виде),8,products/васаби_(корень_в_сыром_виде),
Дайкон (свежий),8,products/дайкон_(свежий),
Имбирь (маринованный),8,products/имбирь_(маринованный),
Козлобородник (корень козлобородника) (в сыром виде),8,products/козлобородник_(корень_козлобородника)_(в_сыром_виде),
Корень имбиря (в сыром виде),8,products/корень_имбиря_(в_сыром_виде),
Корень лопуха (отваренный),8,products/корень_лопуха_(отваренный),
Корень лопуха (в сыром виде),8,products/корень_лопуха_(в_сыром_виде),
Корень сельдерея (отваренный),8,products/корень_сельдерея_(отваренный),
Корень сельдерея (в сыром виде),8,products/корень_сельдерея_(в_сыром_виде),
Корень цикория (в сыром виде),8,products/корень_цикория_(в_сыром_виде),
Маниок (в сыром виде),8,products/маниок_(в_сыром_виде),
Морковь (сушёная),8,,
Морковь (консервированная),8,products/морковь_(консервированная),
Морковь (варёная),8,products/морковь_(варёная),
Морковь (замороженная),8,products/морковь_(замороженная),
"Морковь (сырая, свежая)",8,"products/морковь_(сырая,_свежая)",
Пастернак (корень в сыром виде),8,products/пастернак_(корень_в_сыром_виде),
Редиска (свежая),8,products/редиска_(свежая),
Репа (приготовленная),8,products/репа_(приготовленная),
Репа (сырая),8,products/репа_(сырая),
Свекла (консервированная),8,products/свекла_(консервированная),
Свекла (варёная),8,products/свекла_(варёная),
Свекла (сырая),8,products/свекла_(сырая),
Таро (приготовленные клубни),8,products/таро_(приготовленные_клубни),
Таро (клубни в сыром виде),8,products/таро_(клубни_в_сыром_виде),
Топинамбур (в сыром виде),8,products/топинамбур_(в_сыром_виде),
Ямс (приготовленный),8,products/ямс_(приготовленный),
Ямс (сырой),8,products/ямс_(сырой),
Лук репчатый (варёный),9,products/лук_репчатый_(варёный),
Лук репчатый (свежий),9,products/лук_репчатый_(свежий),
Лук репчатый (жареный),9,products/лук_репчатый_(жареный),
Лук репчатый красный (сладкий) (свежий),9,products/лук_репчатый_красный_(сладкий)_(свежий),
Лук-шалот (свежий),9,products/лук-шалот_(свежий),
Чеснок (в сыром виде),9,products/чеснок_(в_сыром_виде),
Баклажан (приготовленный),10,products/баклажан_(приготовленный),
Баклажан (свежий),10,products/баклажан_(свежий),
"Перец болгарский (замороженный, зелёный)",10,"products/перец_болгарский_(замороженный,_зелёный)",
"Перец болгарский (зелёный, свежий)",10,"products/перец_болгарский_(зелёный,_свежий)",
Перец болгарский жёлтый (свежий),10,products/перец_болгарский_жёлтый_(свежий),
Перец болгарский красный (замороженный),10,products/перец_болгарский_красный_(замороженный),
Перец болгарский красный (свежий),10,products/перец_болгарский_красный_(свежий),
Перец чили зелёный острый (свежий),10,products/перец_чили_зелёный_острый_(свежий),
Перец чили красный острый (свежий),10,products/перец_чили_красный_острый_(свежий),
Помидоры (приготовленные),10,products/помидоры_(приготовленные),
Помидоры (свежие),10,products/помидоры_(свежие),
Помидоры жёлтые (свежие),10,products/помидоры_жёлтые_(свежие),
Помидоры зелёные (в сыром виде),10,products/помидоры_зелёные_(в_сыром_виде),
Помидоры оранжевые (свежие),10,products/помидоры_оранжевые_(свежие),
Томатная паста (консервированная),10,products/томатная_паста_(консервированная),
Физалис (свежий),10,products/физалис_(свежий),
Физалис овощной (свежий),10,products/физалис_овощной_(свежий),
Кабачки молодые (в сыром виде),11,products/кабачки_молодые_(в_сыром_виде),
Кабачковая икра (кабачок консервированный),11,products/кабачковая_икра_(кабачок_консервированный),
"Кабачок (жареный или запечённый, без масла)",11,"products/кабачок_(жареный_или_запечённый,_без_масла)",
Кабачок (замороженный),11,products/кабачок_(замороженный),
Кабачок (в сыром виде),11,products/кабачок_(в_сыром_виде),
Огурцы (свежие),11,products/огурцы_(свежие),
Огурцы солёные (маринованные),11,products/огурцы_солёные_(маринованные),
Патиссон (приготовленный),11,products/патиссон_(приготовленный),
Патиссон (в сыром виде),11,products/патиссон_(в_сыром_виде),
Тыква (варёная или запечённая),11,products/тыква_(варёная_или_запечённая),
Тыква (в сыром виде),11,products/тыква_(в_сыром_виде),
Тыква Акорн (в сыром виде),11,products/тыква_акорн_(в_сыром_виде),
Тыква Баттернат (в сыром виде),11,products/тыква_баттернат_(в_сыром_виде),
Тыква Крукнек (кривошейка) (в сыром виде),11,products/тыква_крукнек_(кривошейка)_(в_сыром_виде),
Тыква Спагетти (в сыром виде),11,products/тыква_спагетти_(в_сыром_виде),
Тыква Хаббард (в сыром виде),11,products/тыква_хаббард_(в_сыром_виде),
Арахис (жареный),12,products/арахис_(жареный),
Арахис (сырой),12,products/арахис_(сырой),
Арахисовая паста,12,products/арахисовая_паста,
"Бобы (консервированные, зрелые)",12,"products/бобы_(консервированные,_зрелые)",
"Бобы (варёные, зрелые)",12,"products/бобы_(варёные,_зрелые)",
"Бобы (в сыром виде, зрелые)",12,"products/бобы_(в_сыром_виде,_зрелые)",
Бобы зелёные (варёные),12,products/бобы_зелёные_(варёные),
Бобы зелёные (свежие),12,products/бобы_зелёные_(свежие),
"Вигна (приготовленная, варёная)",12,"products/вигна_(приготовленная,_варёная)",
Вигна (в сыром виде),12,,
Голубиный горох (варёный),12,products/голубиный_горох_(варёный),
Голубиный горох (сухой),12,products/голубиный_горох_(сухой),
"Горох (сухой, зрелый)",12,"products/горох_(сухой,_зрелый)",
"Горох (варёный на воде, зрелый)",12,"products/горох_(варёный_на_воде,_зрелый)",
Зелёный горошек (консервированный),12,products/зелёный_горошек_(консервированный),
Зелёный горошек (отварной),12,products/зелёный_горошек_(отварной),
Зелёный горошек (замороженный),12,products/зелёный_горошек_(замороженный),
Зелёный горошек (свежий),12,products/зелёный_горошек_(свежий),
Люпин (бобы люпина) (приготовленные),12,products/люпин_(бобы_люпина)_(приготовленные),
Люпин (бобы люпина) (сухие),12,products/люпин_(бобы_люпина)_(сухие),
Маш (варёный),12,products/маш_(варёный),
Маш (сухой),12,products/маш_(сухой),
Нут (варёный),12,products/нут_(варёный),
Нут (сухой),12,products/нут_(сухой),
Фасоль Адзуки (варёная),12,products/фасоль_адзуки_(варёная),
Фасоль Адзуки (сухая),12,products/фасоль_адзуки_(сухая),
Фасоль белая (консервированная),12,products/фасоль_белая_(консервированная),
Фасоль белая (варёная),12,products/фасоль_белая_(варёная),
Фасоль белая (сухая),12,products/фасоль_белая_(сухая),
Фасоль красная (Кидни) (консервированная),12,products/фасоль_красная_(кидни)_(консервированная),
Фасоль красная (Кидни) (варёная),12,products/фасоль_красная_(кидни)_(варёная),
Фасоль красная (Кидни) (сухая),12,products/фасоль_красная_(кидни)_(сухая),
Фасоль Лима (варёная),12,products/фасоль_лима_(варёная),
Фасоль Лима (сухая),12,products/фасоль_лима_(сухая),
Фасоль пёстрая (Пинто) (варёная),12,products/фасоль_пёстрая_(пинто)_(варёная),
Фасоль пёстрая (Пинто) (сухая),12,products/фасоль_пёстрая_(пинто)_(сухая),
Фасоль розовая (варёная),12,products/фасоль_розовая_(варёная),
Фасоль розовая (сухая),12,products/фасоль_розовая_(сухая),
"Фасоль стручковая (варёная, спаржевая)",12,"products/фасоль_стручковая_(варёная,_спаржевая)",
"Фасоль стручковая (замороженная, спаржевая)",12,"products/фасоль_стручковая_(замороженная,_спаржевая)",
"Фасоль стручковая (в сыром виде, спаржевая)",12,"products/фасоль_стручковая_(в_сыром_виде,_спаржевая)",
Фасоль чёрная (варёная),12,products/фасоль_чёрная_(варёная),
Фасоль чёрная (сухая),12,products/фасоль_чёрная_(сухая),
Фасоль черноглазая (варёная),12,,
Фасоль черноглазая (сухая),12,products/фасоль_черноглазая_(сухая),
Французская зеленая фасоль (варёная),12,products/французская_зеленая_фасоль_(варёная),
Французская зеленая фасоль (свежая),12,products/французская_зеленая_фасоль_(свежая),
Чечевица (варёная на воде),12,products/чечевица_(варёная_на_воде),
Чечевица (сухая),12,products/чечевица_(сухая),
Чечевица (красная или розовая) (сухая),12,products/чечевица_(красная_или_розовая)_(сухая),
Зелёные соевые бобы (отваренные),13,products/зелёные_соевые_бобы_(отваренные),
Зелёные соевые бобы (свежие),13,products/зелёные_соевые_бобы_(свежие),
Соевое молоко,13,products/соевое_молоко,
"Соевые бобы (варёные, зрелые)",13,"products/соевые_бобы_(варёные,_зрелые)",
"Соевые бобы (зрелые, в сухом виде)",13,"products/соевые_бобы_(зрелые,_в_сухом_виде)",
Соевый жмых,13,products/соевый_жмых,
"Соевый соус (shoyu, из сои и пшеницы)",13,"products/соевый_соус_(shoyu,_из_сои_и_пшеницы)",
Соевый соус (гидролизованный),13,products/соевый_соус_(гидролизованный),
"Соевый соус (тамари, tamari)",13,"products/соевый_соус_(тамари,_tamari)",
Соевый сыр тофу (сухой),13,products/соевый_сыр_тофу_(сухой),
Сыр тофу твердый (полотняный),13,products/сыр_тофу_твердый_(полотняный),
Сыр тофу ферментированный (fuyu),13,products/сыр_тофу_ферментированный_(fuyu),
Темпе,13,products/темпе,
Эдамаме (приготовленные),13,products/эдамаме_(приготовленные),
Эдамаме (замороженные),13,products/эдамаме_(замороженные),
Брокколи (варёная),14,products/брокколи_(варёная),
Брокколи (замороженная),14,products/брокколи_(замороженная),
Брокколи (свежая),14,products/брокколи_(свежая),
Брокколи китайская (приготовленная),14,products/брокколи_китайская_(приготовленная),
Брокколи китайская (свежая),14,products/брокколи_китайская_(свежая),
Брокколи рааб (приготовленная),14,products/брокколи_рааб_(приготовленная),
Брокколи рааб (свежая),14,products/брокколи_рааб_(свежая),
Брюссельская капуста (варёная),14,products/брюссельская_капуста_(варёная),
Брюссельская капуста (замороженная),14,products/брюссельская_капуста_(замороженная),
Брюссельская капуста (свежая),14,products/брюссельская_капуста_(свежая),
Жеруха (в сыром виде),14,products/жеруха_(в_сыром_виде),
"Капуста (варёная, белокачанная)",14,"products/капуста_(варёная,_белокачанная)",
"Капуста (свежая, белокачанная)",14,"products/капуста_(свежая,_белокачанная)",
Капуста квашеная,14,products/капуста_квашеная,
Капуста квашеная (кимчи),14,products/капуста_квашеная_(кимчи),
Капуста красная (свежая),14,products/капуста_красная_(свежая),
Капуста кудрявая (в сыром виде),14,products/капуста_кудрявая_(в_сыром_виде),
"Капуста листовая (приготовленная, отваренная)",14,"products/капуста_листовая_(приготовленная,_отваренная)",
Капуста листовая (свежая),14,products/капуста_листовая_(свежая),
Капуста пекинская (свежая),14,products/капуста_пекинская_(свежая),
Капуста савойская (свежая),14,products/капуста_савойская_(свежая),
Кольраби (свежая),14,products/кольраби_(свежая),
Кольраби (капуста) (варёная),14,products/кольраби_(капуста)_(варёная),
Кресс-салат (свежий),14,products/кресс-салат_(свежий),
Цветная капуста (варёная),14,products/цветная_капуста_(варёная),
Цветная капуста (замороженная),14,products/цветная_капуста_(замороженная),
Цветная капуста (свежая),14,products/цветная_капуста_(свежая),
Радиккьо (свежий),15,products/радиккьо_(свежий),
Салат айсберг (свежий),15,products/салат_айсберг_(свежий),
Салат корн (свежий),15,products/салат_корн_(свежий),
Салат кочанный (свежий),15,products/салат_кочанный_(свежий),
Салат латук (свежий),15,products/салат_латук_(свежий),
Салат латук красный (свежий),15,products/салат_латук_красный_(свежий),
Салат римский (свежий),15,products/салат_римский_(свежий),
Эндивий (свежий),15,products/эндивий_(свежий),
Эскариоль (приготовленный),15,products/эскариоль_(приготовленный),
Артишоки (варёные),16,products/артишоки_(варёные),
Артишоки (замороженные),16,products/артишоки_(замороженные),
Артишоки (свежие),16,products/артишоки_(свежие),
Артишоки испанские (варёные),16,products/артишоки_испанские_(варёные),
Артишоки испанские (свежие),16,products/артишоки_испанские_(свежие),
Бамбуковые побеги (консервированные),16,products/бамбуковые_побеги_(консервированные),
Бамбуковые побеги (варёные),16,products/бамбуковые_побеги_(варёные),
Бамбуковые побеги (в сыром виде),16,products/бамбуковые_побеги_(в_сыром_виде),
Бамия (в сыром виде),16,products/бамия_(в_сыром_виде),
Каперсы (маринованные),16,products/каперсы_(маринованные),
Кукуруза (консервированная),16,products/кукуруза_(консервированная),
Кукуруза (замороженная),16,products/кукуруза_(замороженная),
Кукуруза (в сыром виде),16,products/кукуруза_(в_сыром_виде),
Кукуруза (варёная),16,products/кукуруза_(варёная),
Опунция (листья) (в сыром виде),16,products/опунция_(листья)_(в_сыром_виде),
Папоротник (побеги) (в сыром виде),16,products/папоротник_(побеги)_(в_сыром_виде),
Побеги лаконоса (в сыром виде),16,products/побеги_лаконоса_(в_сыром_виде),
Сельдерей (свежий),16,products/сельдерей_(свежий),
Сердцевина пальмы (консервированная),16,products/сердцевина_пальмы_(консервированная),
Спаржа (консервированная),16,products/спаржа_(консервированная),
Спаржа (варёная),16,products/спаржа_(варёная),
Спаржа (замороженная),16,products/спаржа_(замороженная),
Спаржа (в сыром виде),16,products/спаржа_(в_сыром_виде),
Фенхель (в сыром виде (плод или корень)),16,products/фенхель_(в_сыром_виде_(плод_или_корень)),
Чайот (в сыром виде),16,products/чайот_(в_сыром_виде),
Базилик (свежий),17,products/базилик_(свежий),
Белокопытник (в сыром виде),17,products/белокопытник_(в_сыром_виде),
Белокопытник (отваренный),17,products/белокопытник_(отваренный),
Ботва репы (свежая),17,products/ботва_репы_(свежая),
Ботва свекольная (в свежем виде),17,products/ботва_свекольная_(в_свежем_виде),
Виноградные листья (свежие),17,products/виноградные_листья_(свежие),
"Каркаде (цветок, свежий)",17,"products/каркаде_(цветок,_свежий)",
Кинза (листья кориандра) (свежие),17,products/кинза_(листья_кориандра)_(свежие),
Кипрей (листья кипрея) (свежий),17,products/кипрей_(листья_кипрея)_(свежий),
Лебеда (свежая),17,products/лебеда_(свежая),
Лемонграсс (свежий),17,products/лемонграсс_(свежий),
Листовая горчица (свежая),17,products/листовая_горчица_(свежая),
Листья амаранта (свежие),17,products/листья_амаранта_(свежие),
Листья одуванчика (свежие),17,products/листья_одуванчика_(свежие),
Листья тыквы (свежие),17,products/листья_тыквы_(свежие),
Листья цикория (свежие),17,products/листья_цикория_(свежие),
Лук зелёный (свежий),17,products/лук_зелёный_(свежий),
Лук-батун (свежий),17,products/лук-батун_(свежий),
Лук-порей (приготовленный),17,products/лук-порей_(приготовленный),
Лук-порей (свежий),17,products/лук-порей_(свежий),
Мангольд (свежий),17,products/мангольд_(свежий),
Марь белая (отваренная),17,products/марь_белая_(отваренная),
Мята (свежая),17,products/мята_(свежая),
Мята перечная (свежая),17,products/мята_перечная_(свежая),
Петрушка (свежая),17,products/петрушка_(свежая),
Портулак (свежий),17,products/портулак_(свежий),
Ревень (стебель в сыром виде),17,products/ревень_(стебель_в_сыром_виде),
Розмарин (свежий),17,products/розмарин_(свежий),
Руккола (свежая),17,products/руккола_(свежая),
Тимьян (свежий),17,products/тимьян_(свежий),
Укроп (свежий),17,products/укроп_(свежий),
Шнитт-лук (свежий),17,products/шнитт-лук_(свежий),
Шпинат (консервированный),17,products/шпинат_(консервированный),
Шпинат (варёный),17,products/шпинат_(варёный),
Шпинат (замороженный),17,,
Шпинат (свежий),17,products/шпинат_(свежий),
Шпинат горчичный (свежий),17,products/шпинат_горчичный_(свежий),
Шпинат новозеландский (свежий),17,products/шпинат_новозеландский_(свежий),
Щавель (свежий),17,products/щавель_(свежий),
Зира (семена кумина),18,products/зира_(семена_кумина),
Кардамон,18,products/кардамон,
Кунжут (необжаренный),18,products/кунжут_(необжаренный),
Кунжут (обжаренный),18,products/кунжут_(обжаренный),
Пажитник (семена),18,products/пажитник_(семена),
Семена аниса,18,products/семена_аниса,
Семена горчицы (молотая горчица),18,products/семена_горчицы_(молотая_горчица),
Семена гулявника,18,products/семена_гулявника,
Семена кориандра,18,products/семена_кориандра,
Семена лотоса,18,products/семена_лотоса,
Семена мака,18,products/семена_мака,
Семена сельдерея,18,products/семена_сельдерея,
Семена тыквы (очищенные),18,products/семена_тыквы_(очищенные),
Семена укропа,18,products/семена_укропа,
Семена фенхеля,18,products/семена_фенхеля,
Семена чиа,18,products/семена_чиа,
Семечки подсолнуха (очищенные),18,products/семечки_подсолнуха_(очищенные),
"Семечки подсолнуха (жареные, очищенные)",18,"products/семечки_подсолнуха_(жареные,_очищенные)",
Семя конопляное,18,products/семя_конопляное,
Семя льняное,18,products/семя_льняное,
Тмин (семена),18,products/тмин_(семена),
Базилик (сухой),19,products/базилик_(сухой),
Ваниль (экстракт),19,products/ваниль_(экстракт),
Гвоздика (пряность) (приправа в виде порошка),19,products/гвоздика_(пряность)_(приправа_в_виде_порошка),
Кервель ажурный (сушёный),19,products/кервель_ажурный_(сушёный),
Кориандр (кинза) (лист высушенный),19,products/кориандр_(кинза)_(лист_высушенный),
Корица (порошок),19,products/корица_(порошок),
Куркума (приправа в виде порошка),19,products/куркума_(приправа_в_виде_порошка),
Лавровый лист,19,products/лавровый_лист,
Луковый порошок,19,products/луковый_порошок,
Майоран (специя в виде порошка),19,products/майоран_(специя_в_виде_порошка),
"Мускатный орех (пряность, молотый)",19,"products/мускатный_орех_(пряность,_молотый)",
Мята (сушёная),19,products/мята_(сушёная),
"Орегано (душица, высушенная)",19,"products/орегано_(душица,_высушенная)",
"Паприка (специя, в виде порошка)",19,"products/паприка_(специя,_в_виде_порошка)",
Перец белый (молотый),19,products/перец_белый_(молотый),
Перец душистый (молотый),19,products/перец_душистый_(молотый),
Перец чёрный (молотый),19,products/перец_чёрный_(молотый),
Перец чили молотый (сухой),19,products/перец_чили_молотый_(сухой),
Перец чили острый (высушенный на солнце),19,products/перец_чили_острый_(высушенный_на_солнце),
Петрушка (сушёная),19,products/петрушка_(сушёная),
Розмарин (сушёный),19,products/розмарин_(сушёный),
Соль столовая,19,products/соль_столовая,
Тимьян (сушёный),19,products/тимьян_(сушёный),
Укроп (сушёный),19,products/укроп_(сушёный),
Чабер (молотый),19,products/чабер_(молотый),
Чеснок сушёный,19,products/чеснок_сушёный,
Шалфей (молотый),19,products/шалфей_(молотый),
Шафран (специя),19,products/шафран_(специя),
Экстракт имбиря (порошок),19,products/экстракт_имбиря_(порошок),
Эстрагон (сушёный),19,products/эстрагон_(сушёный),
Горох пророщенный (в свежем виде),20,products/горох_пророщенный_(в_свежем_виде),
Маш пророщенный (в свежем виде),20,products/маш_пророщенный_(в_свежем_виде),
Пшеница пророщенная (в свежем виде),20,products/пшеница_пророщенная_(в_свежем_виде),
Семена люцерны пророщенные (в свежем виде),20,products/семена_люцерны_пророщенные_(в_свежем_виде),
Соевые бобы пророщенные (в свежем виде),20,products/соевые_бобы_пророщенные_(в_свежем_виде),
Фасоль красная (Кидни) пророщенная (в свежем виде),20,products/фасоль_красная_(кидни)_пророщенная_(в_свежем_виде),
Фасоль пёстрая (Пинто) пророщенная (в свежем виде),20,products/фасоль_пёстрая_(пинто)_пророщенная_(в_свежем_виде),
Чечевица пророщенная (в свежем виде),20,products/чечевица_пророщенная_(в_свежем_виде),
Гриб древесный (сырой),21,products/гриб_древесный_(сырой),
Грибы вешенки (сырые),21,products/грибы_вешенки_(сырые),
Грибы лисички (сырые),21,products/грибы_лисички_(сырые),
Грибы майтаке (сырые),21,products/грибы_майтаке_(сырые),
